criterion_id,category,tag,question,system_instruction,user_prompt_template,formula_or_data_needed,output_format
j1_relstrength,J - Additional technical/momentum,M,Is this stock outperforming its sector/benchmark over the trailing 3-12 months (relative strength)?,"N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"Relative strength = stock's trailing return (3mo/6mo/12mo) minus the sector ETF or S&P 500's trailing return over the same window. Grounded in Jegadeesh & Titman (1993, Journal of Finance) — buying past 3-12mo winners and selling past losers produced a documented ~12%/yr excess return on NYSE/AMEX stocks 1965-1989, robust to size and transaction-cost controls. Computable client-side the same way compute_rubric.py already does (get_equity_historicals for the stock AND a benchmark/sector-ETF ticker, same date range, compare cumulative returns) — not yet implemented in that script.",N/A
j2_goldencross,J - Additional technical/momentum,M,Has this stock's 50-day moving average recently crossed above its 200-day moving average (golden cross)?,"N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"Golden cross = SMA(50) crosses from below to above SMA(200) — the standard definition (50/200 chosen because ~50 trading days ≈ one quarter, ~200 ≈ one year). Widely used as a bullish trend-shift signal; both SMAs are simple extensions of the ema_series()-style function already in compute_rubric.py (use a plain rolling mean instead of exponential weighting). 'Recently' = the cross happened within the trailing ~10 sessions, same 'turned positive within ~10 bars' convention rubric.md already uses for c18_macd.",N/A
j3_notdeathcross,J - Additional technical/momentum,M,Is this stock NOT currently in a death-cross regime (50-day MA below 200-day MA)?,"N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"Death cross = SMA(50) below SMA(200) — the inverse of j2, a standard bearish-regime marker. This is a risk-avoidance gate-style check (fail = the stock is in a confirmed longer-term downtrend structure), not a standalone bullish signal — pairs with j2 rather than duplicating it.",N/A
j4_atrregime,J - Additional technical/momentum,M,Is this stock's volatility currently expanding (a real move may be starting) rather than contracting (still consolidating)?,"N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"ATR(14) via Wilder's smoothing: ATR = [(Prior ATR × 13) + Current True Range] / 14, where True Range = max(High−Low, |High−PrevClose|, |Low−PrevClose|) — Wilder's original 1978 formula, still the industry standard (StockCharts, TradingView, FTMO Academy all confirm this exact definition). Volatility regime = current ATR vs. its own 90-day average — 'expanding' if >1.3x, 'contracting' if <0.7x (same ratio-threshold convention as c22_relvol's 1.3x). Computable from the same get_equity_historicals bars compute_rubric.py already pulls; not yet implemented there.",N/A
j5_obvtrend,J - Additional technical/momentum,M,"Is On-Balance Volume confirming the price trend (rising OBV alongside rising price = real accumulation, not just noise)?","N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"OBV, developed by Joseph Granville (1963, ""Granville's New Key to Stock Market Profits""): running total where each day adds +volume if close>prior close, −volume if close<prior close, unchanged if equal. Core principle (Granville): volume precedes price — a rising OBV signals accumulation. This criterion checks CONFIRMATION (OBV trending the same direction as price over the trailing ~20 sessions), distinct from j10 below which checks for a DIVERGENCE warning. Fully computable client-side from the same OHLCV bars already fetched (only needs volume+close, no new data source).",N/A
j6_52wkbreakout,J - Additional technical/momentum,M,"Has this stock broken out to a new 52-week high on above-average volume (a confirmed breakout, not a low-conviction drift to a new high)?","N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"New 52-week high (close > max close of trailing 252 trading days) AND that day's volume > 1.5× the trailing 30-day average volume (reuses compute_rubric.py's existing relative_volume() function at a higher threshold than c22's 1.3x, since a breakout day should show materially more conviction than a routine up-day). high_52_weeks is already fetched via get_equity_fundamentals for a1_pctoffhigh — this criterion is functionally its bullish-momentum mirror image for growth/momentum archetypes rather than the turnaround archetype's drawdown-depth read.",N/A
j7_ichimoku,J - Additional technical/momentum,M,Is the price trading above the Ichimoku cloud (kumo) — a broader trend-confirmation signal than a single moving average?,"N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"Ichimoku Kinko Hyo (Goichi Hosoda, published 1969): Senkou Span A = (Conversion Line + Base Line)/2 plotted 26 periods ahead, where Conversion Line = (9-period High+Low)/2 and Base Line = (26-period High+Low)/2; Senkou Span B = (52-period High+Low)/2, also plotted 26 ahead. The cloud (kumo) is the shaded area between Span A and Span B. Price above the cloud = bullish regime. More data-hungry than the other Category J criteria (needs ~78+ trailing bars for the 52-period component) but fully computable from the same historicals source, no new data source needed.",N/A
j8_momentum121,J - Additional technical/momentum,M,Does this stock show positive 12-month momentum excluding the most recent month (the standard academic momentum-factor construction)?,"N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"The academic ""12-1 momentum"" factor (standard in Jegadeesh & Titman-descended momentum literature and the Fama-French/AQR momentum factor construction): cumulative return from 12 months ago to 1 month ago, deliberately EXCLUDING the most recent month to avoid the well-documented short-term reversal effect that contaminates naive trailing-12mo return. Distinct from j1 (relative to a benchmark) — this is the stock's own absolute momentum. Computable from get_equity_historicals with a ~253-trading-day pull, same pattern as compute_rubric.py's existing functions.",N/A
j9_higherlows,J - Additional technical/momentum,M,"Is the stock in a structural uptrend — making a sequence of higher highs AND higher lows over the trailing ~3 months, not just a single bounce?","N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"Classic Dow Theory trend definition (an uptrend = each swing high exceeds the prior swing high, each swing low exceeds the prior swing low). Implementation: identify local swing highs/lows in the trailing ~60 bars (a bar is a swing high if its high exceeds the N bars on both sides, swing low analogously — a standard fractal/pivot detection, N=3-5 is typical), then check the sequence is monotonically increasing for both. More structurally rigorous than a1/c19's single-point checks — catches a stock that's technically 'above its 50-day EMA' but chopping sideways with lower highs, which c19 alone would miss.",N/A
j10_obvdivergence,J - Additional technical/momentum,M,Is there NO bearish divergence between price and OBV (price making new highs while OBV is NOT — a classic distribution warning)?,"N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"Divergence detection (standard technical-analysis practice built on Granville's OBV): compare whether price made a new N-day high on the most recent high-water-mark date AND whether OBV also made a new N-day high on that same date. If price did but OBV didn't, that's a bearish divergence — often read as smart-money distribution into retail-driven strength, a genuine warning a pure price/MA-based screen (j2, j6, j9) would miss entirely. This is the inverse/complement of j5 (confirmation) — together they give both the positive and negative volume-based signal.",N/A
