criterion_id,category,tag,question,system_instruction,user_prompt_template,formula_or_data_needed,output_format
h1_altmanz,"H - Balance sheet / financial health",M,"Is this company's balance sheet financially healthy enough to survive a downturn (Altman Z-score)?","N/A — mechanical, computed by formula (see formula_or_data_needed)","N/A","Altman Z-score = 1.2*(Working Capital/Total Assets) + 1.4*(Retained Earnings/Total Assets) + 3.3*(EBIT/Total Assets) + 0.6*(Market Cap/Total Liabilities) + 1.0*(Sales/Total Assets). Safe zone > 2.99 (bankruptcy within 2yr statistically unlikely), grey zone 1.81-2.99 (no comfortable margin), distress zone < 1.81 (profile resembles historical bankruptcies). Source: Altman (1968), original manufacturing-firm coefficients — non-manufacturing/private variants use different coefficients, use the right variant for the sector. DATA GAP: no tool in this project currently returns working capital, retained earnings, or total liabilities as discrete fields — get_equity_fundamentals doesn't expose a balance sheet breakdown. Not fetchable with current tools; would need a new data source.",N/A
h2_currentratio,"H - Balance sheet / financial health",M,"Does this company have enough short-term liquidity to cover its near-term obligations (current ratio), and is that ratio improving?","N/A — mechanical, computed by formula (see formula_or_data_needed)","N/A","Current ratio = Current Assets / Current Liabilities. >1.5 generally healthy, <1.0 means current liabilities exceed current assets (liquidity risk). Piotroski F-score awards 1 point specifically for the ratio improving year-over-year (not just the absolute level) — Piotroski (2000), Journal of Accounting Research. DATA GAP: current assets/current liabilities aren't exposed as discrete fields by any tool in this project currently — same balance-sheet-detail gap as h1.",N/A
h3_interestcoverage,"H - Balance sheet / financial health",M,"Can this company comfortably service its debt from operating earnings (interest coverage ratio)?","N/A — mechanical, computed by formula (see formula_or_data_needed)","N/A","Interest coverage = EBIT / Interest Expense. Credit analysts commonly flag <3x as weak coverage (rising default risk), >6x as comfortable. DATA GAP: EBIT and interest expense aren't exposed as discrete fields by any tool in this project currently.",N/A
h4_debttoebitda,"H - Balance sheet / financial health",M,"Is this company's overall debt load reasonable relative to its cash-generating capacity (Net Debt/EBITDA)?","N/A — mechanical, computed by formula (see formula_or_data_needed)","N/A","Net Debt/EBITDA = (Total Debt - Cash & Equivalents) / EBITDA. <3x is generally considered investment-grade-like leverage; >5x is a commonly-used caution threshold across credit/equity research. DATA GAP: total debt, cash, and EBITDA aren't exposed as discrete fields by any tool in this project currently.",N/A
h5_cfo_positive,"H - Balance sheet / financial health",M,"Is this company generating positive real cash from its core operations (not just accounting profit)?","N/A — mechanical, computed by formula (see formula_or_data_needed)","N/A","Piotroski F-score component: Cash Flow from Operations (CFO) > 0 for the current fiscal year scores 1 point, else 0. Piotroski (2000). DATA GAP: operating cash flow isn't exposed as a discrete field by any tool in this project currently.",N/A
h6_accrual_quality,"H - Balance sheet / financial health",M,"Is this company's reported profit backed by real cash flow, or mostly accounting accruals (earnings-quality check)?","N/A — mechanical, computed by formula (see formula_or_data_needed)","N/A","Piotroski F-score accrual/quality-of-earnings component: 1 point if (Operating Cash Flow / Total Assets) > (Net Income / Total Assets) for the current year, else 0 — CFO consistently exceeding reported net income is a sign of higher-quality, less accrual-manipulated earnings. Piotroski (2000). DATA GAP: operating cash flow and total assets aren't exposed as discrete fields by any tool in this project currently.",N/A
h7_roa_improving,"H - Balance sheet / financial health",M,"Is this company's return on assets actually improving year-over-year, not just positive?","N/A — mechanical, computed by formula (see formula_or_data_needed)","N/A","Piotroski F-score component: 1 point if current-year ROA (Net Income/Total Assets) > prior-year ROA, else 0. Distinct from this rubric's existing b14_roa (which only checks the current level, not the trend) — Piotroski (2000). DATA GAP: prior-year total assets aren't exposed by any tool in this project currently; current ROA-level data does exist via b14_roa's own scan column.",N/A
h8_shareissuance_dilution,"H - Balance sheet / financial health",M,"Has this company avoided diluting existing shareholders with new stock issuance in the last year?","N/A — mechanical, computed by formula (see formula_or_data_needed)","N/A","Piotroski F-score component: 1 point if shares outstanding did NOT increase year-over-year (no dilutive secondary offering), 0 if it did. Piotroski (2000). DATA GAP: prior-year shares-outstanding for a same-period comparison isn't exposed by any tool in this project currently; get_equity_fundamentals returns only a current shares_outstanding snapshot.",N/A
i1_insiderbuying_cluster,"I - Ownership & sentiment",M,"Have multiple company insiders bought shares in a tight window recently (a buying cluster, not just one transaction)?","N/A — mechanical, computed by formula (see formula_or_data_needed)","N/A","Cluster definition per academic research: 3+ distinct insiders buying the same stock within a 15-day window. Lakonishok & Lee (2001, Review of Financial Studies) found heavy insider buying outperformed the market by ~4.8% over the following 12 months; more recent research finds cluster purchases (within 2 days of a peer insider purchase) earn ~2.1% monthly abnormal returns vs. weaker returns for solitary purchases, and cluster purchases show ~3.8% abnormal returns over 21 trading days vs. lower for non-clustered buys. DATA GAP: no tool in this project's current toolset returns SEC Form 4 insider-transaction data. Not fetchable today — would need a new data source (e.g. SEC EDGAR Form 4 feed) before this criterion can be scored for real.",N/A
i2_insider_conviction_judgment,"I - Ownership & sentiment",J,"Does observed insider buying reflect genuine management conviction, or routine/compensation-driven activity that shouldn't be read as a signal?","You are a hedge fund analyst who specializes in reading SEC Form 4 insider-transaction filings for genuine signal versus noise. STRICT TIME BOUNDARY: today, for the purpose of this task, is {as_of}. Simulate the judgment as it would have been made on that exact date, using only information knowable then. Distinguish open-market cash purchases (higher signal value — insiders spending their own money) from routine option exercises, 10b5-1 pre-scheduled sales/purchases, or compensation-related share awards (low-to-no signal value). If you recognize this company and know things that happened to it AFTER {as_of}, deliberately set that knowledge aside. Respond with ONLY a JSON object: {""score"": 0|1|2, ""reasoning"": ""...""}","As of {as_of}, given the insider transaction activity described below for {company}, does it reflect genuine open-market conviction buying (score 2), routine/ambiguous activity (score 1), or no real signal / this is actually insider selling (score 0)?

Insider transaction detail:
{insider_transaction_detail}

Company situation:
{company_brief}","DATA GAP: same as i1 — needs real Form 4 detail (transaction type, price, insider role) not currently available from any tool in this project's toolset. This criterion's prompt is ready to use the moment that data source exists.","{""score"": 0|1|2, ""reasoning"": str}"
