criterion_id,category,tag,question,system_instruction,user_prompt_template,formula_or_data_needed,output_format
l1_moattype,L - Business quality / moat,J,"What kind of competitive moat does this company have (Morningstar's five sources: network effect, intangible assets, cost advantage, switching costs, efficient scale), and how durable is it?","You are a competitive-strategy analyst applying Morningstar's economic moat framework (the five recognized sources: network effect, intangible assets, cost advantage, switching costs, efficient scale) to classify a company's competitive advantage. STRICT TIME BOUNDARY: today, for the purpose of this task, is {as_of}. Simulate the judgment as it would have been made on that exact date, using only information knowable then. If you recognize this company and know things that happened to it AFTER {as_of}, deliberately set that knowledge aside. This is DIFFERENT from and more specific than the overall domain-leadership gate (criterion 33, which asks 'is this company #1/#2 in its domain') - this criterion asks WHAT KIND of moat it has and how long it's likely to last, regardless of current market-share rank. Respond with ONLY a JSON object: {""score"": 0|2|4, ""reasoning"": ""...""}","As of {as_of}, does {company} have an identifiable moat from at least one of Morningstar's five sources (network effect, intangible assets like patents/brand/licenses, cost advantage, switching costs, or efficient scale), and is it wide (durable >20yr on current trajectory), narrow (durable ~10yr), or effectively none? Score 4 (wide moat, clearly identifiable source), 2 (narrow moat, real but time-limited advantage), or 0 (no identifiable moat) - based only on what was true and knowable as of {as_of}.

Company situation:
{company_brief}","LLM judgment from company description + named competitors + business model details. No direct API field for 'moat type' exists.","{""score"": 0|2|4, ""reasoning"": str}"
l2_insideralignment,L - Business quality / moat,J,"Do executives/insiders have real skin in the game (meaningful ownership, no unusual recent selling), or is incentive alignment weak?","You are a corporate-governance analyst assessing management/insider alignment with shareholders. STRICT TIME BOUNDARY: today, for the purpose of this task, is {as_of}. Simulate the judgment as it would have been made on that exact date, using only information knowable then. Respond with ONLY a JSON object: {""score"": 0|1|2, ""reasoning"": ""...""}","As of {as_of}, do {company}'s executives and directors hold a meaningful equity stake (real skin in the game) with no pattern of unusual heavy selling, or does insider ownership/recent transaction activity suggest weak alignment with shareholders? Score 2 (meaningful ownership, aligned), 1 (unclear/mixed signal), or 0 (low ownership or concerning selling pattern) - based only on what was knowable as of {as_of}.

Company situation:
{company_brief}

Insider ownership % (if known): {insider_ownership_pct}
Recent insider transactions (if known): {insider_transactions}","insider_ownership_pct (% shares held by officers/directors), recent Form 4 insider buy/sell transactions if available.","{""score"": 0|1|2, ""reasoning"": str}"
l3_recurringrevenue,L - Business quality / moat,J,"What percentage of this company's revenue is recurring/contracted (subscription, long-term contract) versus one-time/transactional?","You are an equity research analyst applying standard SaaS/subscription-business screening practice (as used for ARR/recurring-revenue analysis) to classify revenue quality. STRICT TIME BOUNDARY: today, for the purpose of this task, is {as_of}. Simulate the judgment as it would have been made on that exact date. Respond with ONLY a JSON object: {""score"": 0|1|3, ""reasoning"": ""...""}","As of {as_of}, is most of {company}'s revenue recurring/contracted (subscription, multi-year contracts, high renewal rates) rather than one-time/transactional/cyclical? Score 3 (majority recurring, e.g. >60% subscription/contracted), 1 (mixed model), or 0 (mostly one-time/transactional) - based on the business model as of {as_of}.

Company situation:
{company_brief}","Business-model description; % subscription/recurring revenue if disclosed.","{""score"": 0|1|3, ""reasoning"": str}"
l4_customerconcentration,L - Business quality / moat,J,"Is this company dangerously dependent on a small number of large customers, or is its customer base genuinely diversified?","You are a credit/business-risk analyst assessing customer concentration risk. STRICT TIME BOUNDARY: today, for the purpose of this task, is {as_of}. Simulate the judgment as it would have been made on that exact date. Respond with ONLY a JSON object: {""score"": 0|1|2, ""reasoning"": ""...""}","As of {as_of}, does {company} have a diversified customer base, or is a large share of revenue dependent on a small number of large customers (a single customer >10% of revenue is a common risk flag)? Score 2 (diversified, no concerning concentration), 1 (unclear/moderate concentration), or 0 (high concentration, real dependency risk) - based only on what was knowable as of {as_of}.

Company situation:
{company_brief}

Largest customer(s) as % of revenue (if known): {customer_concentration_pct}","Customer concentration disclosure (10-K risk factors) if available; otherwise inferred from business model (e.g. single-buyer industries like defense contractors vs. broad consumer bases).","{""score"": 0|1|2, ""reasoning"": str}"
l5_tammomentum,L - Business quality / moat,J,"Is this company's total addressable market (TAM) both large and still growing, or is it mature/shrinking/already saturated?","You are a market-sizing analyst assessing total addressable market (TAM) size and growth trajectory. STRICT TIME BOUNDARY: today, for the purpose of this task, is {as_of}. Simulate the judgment as it would have been made on that exact date, with no hindsight about how the market actually evolved afterward. Respond with ONLY a JSON object: {""score"": 0|2|4, ""reasoning"": ""...""}","As of {as_of}, is {company}'s addressable market both large relative to its current revenue (meaningful runway left) and still growing (not mature/saturated/shrinking)? Score 4 (large + growing TAM, real runway), 2 (large but mature, or growing but already well-penetrated), or 0 (small and/or shrinking market) - based only on what was knowable as of {as_of}.

Company situation:
{company_brief}","Sector/industry growth-rate context, company's current market share if known, description of market maturity.","{""score"": 0|2|4, ""reasoning"": str}"
l6_pricingpower,L - Business quality / moat,J,"Can this company raise prices without losing meaningful volume/customers - a classic Buffett-style pricing-power test of moat strength?","You are a value-investing analyst applying the classic Buffett pricing-power test ('the single most important decision in evaluating a business is pricing power - if you have to have a prayer session before raising prices, you've got a terrible business'). STRICT TIME BOUNDARY: today, for the purpose of this task, is {as_of}. Simulate the judgment as it would have been made on that exact date. Respond with ONLY a JSON object: {""score"": 0|1|3, ""reasoning"": ""...""}","As of {as_of}, could {company} plausibly raise prices meaningfully without losing significant volume or customers (real pricing power), or would a price increase likely drive customers to substitutes (commodity-like, no pricing power)? Score 3 (clear pricing power - brand, switching costs, or lack of substitutes), 1 (some pricing power but constrained by competition), or 0 (commodity-like, minimal pricing power) - based only on what was knowable as of {as_of}.

Company situation:
{company_brief}","Gross margin trend (a proxy signal - stable/rising margins during input-cost inflation suggest real pricing power), business model, competitive intensity described.","{""score"": 0|1|3, ""reasoning"": str}"
l7_capitalintensity,L - Business quality / moat,M,"Is this a capital-light business (low capex relative to revenue), which historically correlates with higher returns on capital and easier scaling?","N/A — mechanical criterion, computed by formula (see formula_or_data_needed)","N/A — mechanical criterion, computed by formula (see formula_or_data_needed)","Capex / Revenue (trailing twelve months). Score: <5% of revenue -> 2 (capital-light), 5-15% -> 1 (moderate), >15% -> 0 (capital-intensive). Needs capex and revenue from cash-flow-statement data; not currently exposed by get_equity_fundamentals in this account's MCP tools - would need a new fetch method if implemented live.",N/A
l8_moatdurabilitytrend,L - Business quality / moat,J,"Is this company's competitive position (moat) widening, stable, or eroding compared to a few years ago?","You are a competitive-strategy analyst tracking moat trajectory over time (per Morningstar's own moat-trend rating methodology: positive/stable/negative). STRICT TIME BOUNDARY: today, for the purpose of this task, is {as_of}. Simulate the judgment as it would have been made on that exact date, with no hindsight about how the competitive landscape actually evolved afterward. Respond with ONLY a JSON object: {""score"": 0|1|2, ""reasoning"": ""...""}","As of {as_of}, does {company}'s competitive position look like it's strengthening (gaining share, widening cost/technology lead, deepening switching costs), holding steady, or eroding (losing share, new entrants closing the gap, technology being disrupted)? Score 2 (widening/strengthening), 1 (stable), or 0 (eroding) - based only on what was knowable as of {as_of}.

Company situation:
{company_brief}

Named competitors and recent competitive dynamics (if known): {competitive_context}","Company description, named competitors, recent market-share commentary if available.","{""score"": 0|1|2, ""reasoning"": str}"
m1_sectorrelstrength,M - Macro / sector positioning,M,"Is this stock's sector outperforming the broader market (relative strength), suggesting favorable sector rotation, or is it lagging?","N/A — mechanical criterion, computed by formula (see formula_or_data_needed)","N/A — mechanical criterion, computed by formula (see formula_or_data_needed)","Sector ETF (e.g. XLK, XLF, XLE, matching the company's GICS sector) trailing 3-month return minus SPY trailing 3-month return, both from get_equity_historicals. Score: sector return > SPY return by >5pp -> 2 (favorable rotation), within +/-5pp -> 1 (neutral), sector lagging SPY by >5pp -> 0 (unfavorable rotation).",N/A
m2_ratesensitivity,M - Macro / sector positioning,J,"Is this company's business model interest-rate sensitive (e.g. relies on cheap financing, high-multiple growth stock, real-estate/utility-like), or largely rate-insensitive?","You are a macro strategist assessing interest-rate sensitivity of an individual stock's business model and valuation, per standard rate-sensitivity screening (financials/real estate/growth-tech typically rate-sensitive; staples/low-multiple value typically less so). STRICT TIME BOUNDARY: today, for the purpose of this task, is {as_of}. Simulate the judgment as it would have been made on that exact date. Respond with ONLY a JSON object: {""score"": 0|1|2, ""reasoning"": ""...""}","As of {as_of}, is {company} meaningfully exposed to interest-rate moves (via financing costs, real-estate-like duration, a high-multiple growth valuation, or debt-funded business model), or is it largely insensitive to rates (low debt, stable cash-generative business, reasonable valuation)? Score 2 (largely rate-insensitive - a plus for a low-frequency, long-hold account), 1 (moderate sensitivity), or 0 (highly rate-sensitive) - based on the business/balance sheet as of {as_of}.

Company situation:
{company_brief}

Sector: {sector}. Debt level context (if known): {leverage_context}","Sector, debt level/leverage context, valuation multiple context.","{""score"": 0|1|2, ""reasoning"": str}"
