criterion_id,category,tag,question,system_instruction,user_prompt_template,formula_or_data_needed,output_format
a1_pctoffhigh,A,M,Is this stock deeply off its 52-week high (turnaround pattern)?,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",>=40% off high (graduated: 85/70/55/40%),N/A
a2_rsi,A,M,Is this stock's RSI(14) oversold?,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",RSI < 30 (stronger signal <20),N/A
a3_williams,A,M,Does Williams %R confirm the stock is oversold?,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",Williams %R(14) < -80,N/A
a4_stochastic,A,M,Is the Stochastic oscillator showing oversold conditions?,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",Stochastic %K(14) < 20,N/A
a5_bollinger,A,M,Is the price trading below its lower Bollinger Band?,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",Price < 20-day SMA - 2*stdev,N/A
a6_support,A,M,Is the price at or below a computed support level?,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",Price <= trailing-20d low,N/A
a7_peg_lt1,A,M,Is this stock still cheap on a growth-adjusted basis despite the drawdown?,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",PEG < 1,N/A
a8_cyclical_judgment,A,J,Does the drawdown look cyclical/sentiment-driven rather than a structural business breakdown?,"You are scoring one criterion of a stock-picking rubric for a personal, low-frequency, high-conviction investment account. STRICT TIME BOUNDARY: today, for the purpose of this task, is {as_of}. Simulate the judgment as it would have been made on that exact date, using only information knowable then. If you recognize this company and know things that happened to it AFTER {as_of}, deliberately set that knowledge aside. Respond with ONLY a JSON object: {""score"": 0|2|4, ""reasoning"": ""...""}","As of {as_of}, does {company}'s drawdown look cyclical/sentiment-driven (a temporary, external, or fixable problem — a demand cycle, a regulatory overhang, a leverage problem fixable by refinancing/cost cuts, a manufacturing execution problem in an otherwise-viable business) rather than a structural business breakdown (permanent demand destruction, the core product/service becoming obsolete, an unfixable competitive position)? Score 4 (clearly cyclical/fixable), 2 (unclear/mixed), or 0 (looks structural) — based only on what was true and knowable as of {as_of}.

Company situation:
{company_brief}",judgment call - no fixed threshold,"{""score"": 0|2|4, ""reasoning"": str}"
b9_mktcap,B,M,Is this an established company by market cap?,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",Market cap > $2B,N/A
b10_grossmargin,B,M,Does this company have healthy gross margins?,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",Gross margin > 30%,N/A
b11_opmargin,B,M,Is this company operating-profit positive?,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",Operating margin > 0%,N/A
b12_netmargin,B,GATE,Is this company net-profit positive (already positive cashflow at the bottom line)?,"N/A — RETIRED 2026-07-07, now a Stage-0 scan-level gate on every archetype, never scored downstream (see rubric.md Gates section)","N/A — retired, see rubric-changelog.csv id 7",Net profit margin > 0 - RETIRED AS A SCORE 2026-07-07; now enforced as a Stage-0 scan gate on every archetype before a candidate ever reaches this rubric,N/A
b13_roe,B,M,Is this company generating a healthy return on equity?,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",ROE > 10% (partial credit >0%),N/A
b14_roa,B,M,Is this company generating a healthy return on assets?,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",ROA > 5% (partial credit >0%),N/A
b15_dividend,B,M,Is this company still paying a dividend through the drawdown?,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",dividend_yield is non-null,N/A
b16_epstrend,B,M,Has this company's EPS trend been improving over the last 2-4 quarters?,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",most-recent actual EPS > earliest-of-window actual EPS,N/A
b17_leverage_judgment,B,J,Does this company's balance sheet/leverage look reasonable for its sector?,"You are scoring one criterion of a stock-picking rubric for a personal, low-frequency, high-conviction investment account. STRICT TIME BOUNDARY: today, for the purpose of this task, is {as_of}. Simulate the judgment as it would have been made on that exact date. No direct debt/leverage filter exists in this account's data tools — infer from P/B ratio, sector, and the company's own description; say explicitly this is an approximation. Respond with ONLY a JSON object: {""score"": 0|1|2, ""reasoning"": ""...""}","As of {as_of}, does {company}'s balance sheet/leverage look reasonable relative to its sector norm (not stretched)? Score 2 (doesn't look stretched), 1 (uncertain/no clear signal), or 0 (looks stretched) — based on P/B ratio, sector, and company description as of {as_of} only.

Company situation:
{company_brief}

P/B ratio (if known): {pb_ratio}",judgment call - no direct debt filter exists,"{""score"": 0|1|2, ""reasoning"": str}"
c18_macd,C,M,Has momentum (MACD histogram) turned positive in the last ~2 weeks?,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",MACD histogram crosses from <=0 to >0 within trailing ~10 sessions,N/A
c19_ema,C,M,Has the price reclaimed a key moving average?,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",Price > 50-day EMA,N/A
c20_aroon,C,M,Has a new uptrend started forming (Aroon Oscillator turned positive)?,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",Aroon Oscillator(14) > 0,N/A
c21_adx,C,M,Is the trend actually strengthening,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())", not just already high?,N/A
c22_relvol,C,M,Is there real buying accumulation (elevated volume specifically on up days)?,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",Relative volume(30d) > 1.3 AND close > open that day,N/A
c23_rsirecross,C,M,Has RSI recovered back above the oversold line after dipping below it?,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",RSI(14) crosses from <30 to >=30 within the trailing window,N/A
