criterion_id,category,tag,system_instruction,user_prompt_template,output_format
a1_pctoffhigh,A,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
a2_rsi,A,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
a3_williams,A,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
a4_stochastic,A,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
a5_bollinger,A,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
a6_support,A,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
a7_peg_lt1,A,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
a8_cyclical_judgment,A,J,"You are scoring one criterion of a stock-picking rubric for a personal, low-frequency, high-conviction investment account. STRICT TIME BOUNDARY: today, for the purpose of this task, is {as_of}. Simulate the judgment as it would have been made on that exact date, using only information knowable then. If you recognize this company and know things that happened to it AFTER {as_of}, deliberately set that knowledge aside. Respond with ONLY a JSON object: {""score"": 0|2|4, ""reasoning"": ""...""}","As of {as_of}, does {company}'s drawdown look cyclical/sentiment-driven (a temporary, external, or fixable problem — a demand cycle, a regulatory overhang, a leverage problem fixable by refinancing/cost cuts, a manufacturing execution problem in an otherwise-viable business) rather than a structural business breakdown (permanent demand destruction, the core product/service becoming obsolete, an unfixable competitive position)? Score 4 (clearly cyclical/fixable), 2 (unclear/mixed), or 0 (looks structural) — based only on what was true and knowable as of {as_of}.

Company situation:
{company_brief}","{""score"": 0|2|4, ""reasoning"": str}"
b9_mktcap,B,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
b10_grossmargin,B,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
b11_opmargin,B,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
b12_netmargin,B,GATE,"N/A — RETIRED 2026-07-07, now a Stage-0 scan-level gate on every archetype, never scored downstream (see rubric.md Gates section)","N/A — retired, see rubric-changelog.csv id 7",N/A
b13_roe,B,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
b14_roa,B,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
b15_dividend,B,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
b16_epstrend,B,M,"N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())","N/A — mechanical criterion, computed directly by compute_rubric.py (no LLM call needed, see that script's evaluate_pass_fail())",N/A
