criterion_id,category,tag,question,system_instruction,user_prompt_template,formula_or_data_needed,output_format
f1_evebitda,F - Valuation depth,M,Is this stock cheap on an EV/EBITDA basis relative to its sector?,"N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"EV/EBITDA = Enterprise Value / EBITDA (trailing 12mo). Common industry benchmarks run 6x-12x depending on sector (utilities lower, tech/software higher) — score relative to sector median, not an absolute number. < sector median -> 2, roughly in line -> 1, > sector median -> 0. Source: EV/EBITDA screening methodology, quant-investing.com / footnotesanalyst.com (2026 research pass).",N/A
f2_fcfyield,F - Valuation depth,M,Does this stock have a high free cash flow yield (real cash generation priced cheaply)?,"N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"FCF Yield = Free Cash Flow (ttm) / Enterprise Value * 100. Top-decile FCF-yield stocks have historically outperformed the broader market by 3-5%/yr (quant-investing.com backtest). >8% -> 2, 4-8% -> 1, <4% -> 0. Use a 5-year average for cyclical sectors to avoid a single peak/trough year distorting the read.",N/A
f3_grahamnumber,F - Valuation depth,M,Is the stock trading at or below its Benjamin Graham Number?,"N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"Graham Number = sqrt(22.5 * EPS * Book Value Per Share) — combines a max P/E of 15 and max P/B of 1.5, one of the most conservative classic value formulas (Graham, The Intelligent Investor). Price <= Graham Number -> 2, within 25% above it -> 1, >25% above -> 0. Most reliable for stable, asset-rich businesses; explicitly less reliable for high-growth/tech names with little book value — note that caveat in the score reasoning.",N/A
f4_ps_ratio,F - Valuation depth,M,Is this stock cheap on a Price/Sales basis relative to its sector?,"N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"P/S = Market Cap / Revenue (ttm). Compare to sector median rather than an absolute cutoff (P/S norms vary hugely by sector — software commands higher multiples than retail/industrials on revenue alone). < sector median -> 2, near median -> 1, > sector median -> 0.",N/A
f5_pb_ratio,F - Valuation depth,M,Is this stock cheap on a Price/Book basis?,"N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"P/B = Market Cap / Book Value. Classic Graham/deep-value threshold: P/B < 1.5 -> 2, 1.5-3.0 -> 1, >3.0 -> 0. Least meaningful for asset-light/high-IP businesses (software, services) where book value understates true asset base — flag that caveat when scoring such a name.",N/A
f6_forward_pe_discount,F - Valuation depth,M,Is the stock's forward P/E meaningfully cheaper than its own trailing P/E or historical average?,"N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"Compare forward P/E (next-12mo consensus estimate) to trailing P/E and to the stock's own 5-year average P/E. Forward P/E >15% below both -> 2 (market pricing in real improvement cheaply), forward roughly in line -> 1, forward P/E higher than trailing (deteriorating outlook priced in) -> 0.",N/A
f7_ev_sales_vs_margin,F - Valuation depth,M,Is the EV/Sales multiple reasonable given the company's actual margin profile?,"N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"EV/Sales should scale with profitability — a business with high EV/Sales needs high margins to justify it. Compute EV/Sales / (Operating Margin * 100); lower is better (cheaper multiple per unit of margin quality). Below sector-median ratio -> 2, in line -> 1, above -> 0.",N/A
f8_shareholder_yield,F - Valuation depth,M,Is management returning meaningful capital to shareholders relative to the stock's price?,"N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"Shareholder Yield = Dividend Yield + Net Buyback Yield (change in shares outstanding, annualized). >5% combined -> 2, 2-5% -> 1, <2% or net share issuance -> 0. Captures total capital return, not just dividends — a common institutional value-screen addition.",N/A
f9_price_to_fcf,F - Valuation depth,M,Is the stock cheap on a Price/Free-Cash-Flow basis?,"N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"Price/FCF = Market Cap / Free Cash Flow (ttm). AAII's own value screen threshold: < 15 -> 2 (cheap cash generator), 15-25 -> 1, >25 -> 0. Distinct from EV/FCF-yield (f2) in using equity value not enterprise value — flags cases where a heavy debt load makes EV/EBITDA look worse than the equity-only multiple suggests, or vice versa.",N/A
f10_valuation_vs_own_history,F - Valuation depth,M,Is the stock's current valuation multiple well below its own historical norm (a mean-reversion setup)?,"N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"Compare current P/E (or EV/EBITDA if P/E is negative/not meaningful) to the stock's own trailing 5-year average multiple. Current multiple <70% of the 5yr average -> 2 (real de-rating, worth asking why), 70-100% -> 1, at/above its own historical average -> 0. Requires multi-year fundamentals history — flag N/A if fewer than 3 years of data available rather than computing off a short window.",N/A
g1_revgrowth3yr,G - Growth quality,M,"Has revenue grown at a strong, sustained rate over the last 3 years?","N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"3-year Revenue CAGR = (Revenue_now / Revenue_3yr_ago)^(1/3) - 1. >15%/yr -> 2, 5-15%/yr -> 1, <5%/yr -> 0. Use CAGR over a full 3-year window, not a single strong/weak year, to avoid rewarding one lumpy quarter.",N/A
g2_epsgrowth3yr,G - Growth quality,M,"Has EPS grown at a strong, sustained rate over the last 3 years?","N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"3-year EPS CAGR, same method as g1 applied to diluted EPS. >15%/yr -> 2, 5-15%/yr -> 1, <5%/yr or negative -> 0. Watch for buyback-driven EPS growth masking flat/declining net income — cross-check against revenue growth (g1); a large gap between EPS growth and revenue growth is a flag worth noting in the reasoning even though it doesn't change this score.",N/A
g3_revenue_acceleration,G - Growth quality,M,"Is revenue growth itself accelerating, not just positive?","N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"Compare YoY revenue growth rate in the most recent quarter to the prior 1-2 quarters' YoY growth rates. Accelerating for 2+ consecutive quarters -> 2 (signals strengthening demand, share gains, or a successful product launch per estimate-revision/acceleration research), flat -> 1, decelerating -> 0. This is a trend-of-a-trend metric — genuinely different information from g1's static 3yr average.",N/A
g4_estimate_revisions,G - Growth quality,M,Are Wall Street analysts revising their earnings estimates UP for this stock?,"N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"Consensus forward-EPS estimate today vs. the same consensus estimate 90 days ago. Revised up >5% -> 2, roughly flat -> 1, revised down -> 0. Grounded in the earnings-forecast-revision factor literature (Guerard et al., composite CTEF model) — one of the more persistently documented return factors in academic finance, not just a momentum heuristic. Needs historical consensus-estimate data, which may not be available from every data source — leave N/A honestly if no estimate-revision history is fetchable rather than guessing.",N/A
g5_rule_of_40,G - Growth quality,M,Does this company clear the 'Rule of 40' (growth + profitability together)?,"N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"Rule of 40 score = Revenue growth % (yoy) + FCF margin % (FCF / Revenue). >=40 -> 2, 30-40 -> 1, <30 -> 0. Common SaaS/growth-software quality heuristic — a fast-grower with weak margins or a profitable business with weak growth can both still clear it; only genuinely weak on both dimensions fails. Most relevant for growth/compounder archetypes, less meaningful for deep-value turnarounds where growth may be intentionally negative during a restructuring.",N/A
g6_margin_expansion,G - Growth quality,M,"Is operating margin actually expanding year-over-year, not just positive?","N/A — mechanical, computed by formula (see formula_or_data_needed)",N/A,"Current-quarter (or ttm) operating margin vs. the same period one year ago. Expanded >200bps -> 2 (growing profitably, operating leverage kicking in), roughly flat (+/-200bps) -> 1, contracted -> 0. Distinct from Category B's static operating-margin-positive check (b11) — this is about the *trend*, not the level.",N/A
g7_reinvestment_judgment,G - Growth quality,J,Is management credibly reinvesting for continued growth rather than harvesting the business?,"You are a senior growth-equity analyst who has spent a career evaluating whether management teams are genuinely building for the future or milking a maturing business. STRICT TIME BOUNDARY: today, for the purpose of this task, is {as_of}. Simulate the judgment as it would have been made on that exact date, using only information knowable then. If you recognize this company and know things that happened to it AFTER {as_of}, deliberately set that knowledge aside. Respond with ONLY a JSON object: {""score"": 0|1|2, ""reasoning"": ""...""}","As of {as_of}, does {company}'s capital allocation (R&D/capex trajectory, stated strategy, management commentary) suggest genuine, credible reinvestment into future growth, rather than declining reinvestment / harvesting cash from a maturing business? Score 2 (credibly reinvesting for growth), 1 (mixed/unclear), or 0 (harvesting, declining reinvestment) — based only on what was true and knowable as of {as_of}.

Company situation:
{company_brief}","company_brief, R&D/capex trend if known","{""score"": 0|1|2, ""reasoning"": str}"
g8_growth_runway_judgment,G - Growth quality,J,"Does this company have real multi-year growth runway left, or is it already near-saturated?","You are a senior growth-equity analyst specializing in total-addressable-market (TAM) analysis and market-penetration curves. STRICT TIME BOUNDARY: today, for the purpose of this task, is {as_of}. Simulate the judgment as it would have been made on that exact date, using only information knowable then. If you recognize this company and know things that happened to it AFTER {as_of}, deliberately set that knowledge aside. Respond with ONLY a JSON object: {""score"": 0|1|2, ""reasoning"": ""...""}","As of {as_of}, does {company} still have substantial, realistic runway to keep growing for years (low penetration of a large/growing addressable market, clear expansion vectors) or is it already dominant/saturated in a market that isn't itself growing much further? Score 2 (real multi-year runway), 1 (some runway, getting mature), or 0 (near-saturated, limited runway) — based only on what was true and knowable as of {as_of}.

Company situation:
{company_brief}","company_brief, market/TAM context if known","{""score"": 0|1|2, ""reasoning"": str}"
