criterion_id,category,description,data_needed,fetch_method,verified_status,notes
a1_pctoffhigh,A,"% off 52-week high: >=85%->8, >=70%->6, >=55%->4, >=40%->2, <40%->0",high_52_weeks + current price,"get_equity_fundamentals(symbols) -> high_52_weeks field; compute (high-price)/high","VERIFIED WORKING","Used for all 32 turnaround candidates 2026-07-07. No scan filter exists for this - must be computed per-candidate after the scan."
a2_rsi,A,"RSI(14): <20->3, <30->2, else 0",RSI(14) value,"scan filter FILTER_TYPE_RSI, predicate <, interval=1d, length=14",VERIFIED WORKING,Also usable as a visible scan column without filtering by adding a loose predicate.
a3_williams,A,"Williams %R < -80 -> 2, else 0",Williams %R(14) value,"scan filter FILTER_TYPE_WILLIAMS_PERCENT_RANGE, interval=1d, length=14",VERIFIED WORKING,Used in the turnaround scan's Stage 0 prefilter directly.
a4_stochastic,A,"Stochastic oscillator < 20 -> 2, else 0",Stochastic value,"Scanner filter FILTER_TYPE_STOCHASTIC_OSCILLATOR is broken (server bug). Use get_equity_historicals(symbols, start_time, interval=day) - pull ~14+ trailing daily bars and compute %K = (Close - Lowest Low(14)) / (Highest High(14) - Lowest Low(14)) * 100 client-side.",VERIFIED WORKING (live-tested 2026-07-07),"Live-tested on NVDA 2026-07-07: real %K=23.77 computed from 44 daily bars on the first attempt - see reports/rubric-fetch-verification-2026-07-07.csv. Was 'not yet implemented' for weeks despite data being confirmed available; the gap was the calc code never being written, not fetchability. Implemented and verified now."
a5_bollinger,A,"Price below lower Bollinger Band -> 3, else 0",Bollinger Band value,"Scanner filter FILTER_TYPE_BOLLINGER_BAND is broken (server bug). Use get_equity_historicals(symbols, start_time, interval=day) - pull ~20 trailing daily bars, compute the 20-day SMA and standard deviation of Close, lower band = SMA - 2*stdev, compare current price.",VERIFIED WORKING (live-tested 2026-07-07),"Live-tested on NVDA 2026-07-07: SMA=202.33, upper=214.02, lower=190.64 computed from the same 44-bar historicals pull used for a4/a6/c18/c22/c23 - one fetch, six criteria. See reports/rubric-fetch-verification-2026-07-07.csv."
a6_support,A,"Price at/below computed Support level -> 3, else 0",Support level value,"Scanner filter FILTER_TYPE_SUPPORT is broken (server bug). Use get_equity_historicals(symbols, start_time, interval=day) - approximate support as the trailing 20-day low from the raw bars (documented, chosen heuristic - see rubric.md).",VERIFIED WORKING (live-tested 2026-07-07),"Live-tested on NVDA 2026-07-07: trailing-20d low=189.80 vs close=195.55, computed cleanly on the first attempt. 'Support' is inherently fuzzier to define than Stochastic/Bollinger (no single universally-agreed formula) - the trailing-20d-low heuristic is now the documented standard, see rubric.md's 'Before scoring a criterion' section."
a7_peg_lt1,A,"PEG < 1 despite the drawdown -> 2, else 0",PEG value,"scan filter FILTER_TYPE_PEG - add to the turnaround scan's filter set, or run as a standalone probe scan against the current turnaround candidate list",VERIFIED WORKING (live-tested 2026-07-07),"Live-tested directly on NVDA 2026-07-07 via a standalone test scan (not the live turnaround scan, to avoid mutating it): PEG=0.314637 returned cleanly. Confirms the filter itself works; still not wired into the turnaround scan's own filter set (would need a probe-and-revert per CLAUDE.md's rule, or per-candidate lookup after the scan runs). get_equity_fundamentals does NOT return PEG at all - only a scan column does."
a8_cyclical_judgment,A,"Drawdown looks cyclical vs structural -> 4/2/0",sector + judgment,"get_equity_fundamentals(symbols) -> sector field, then [J] judgment","VERIFIED WORKING (mechanical input; judgment call is real)","Sector field is reliable. The judgment itself (cyclical vs structural) is a real per-candidate call using a fixed sector->bucket mapping, not a placeholder."
b9_mktcap,B,Market cap > $2B -> 3,market_cap,"get_equity_fundamentals(symbols) -> market_cap, OR any scan's own Market Cap column",VERIFIED WORKING,Available everywhere - fundamentals call or scan column both work.
b10_grossmargin,B,Gross margin > 30% -> 2,Gross margin value,"scan filter FILTER_TYPE_GROSS_MARGIN",VERIFIED WORKING (live-tested 2026-07-07),"Live-tested on NVDA 2026-07-07 via a standalone test scan: Gross margin=0.710681 returned cleanly on the first attempt. Not yet added to any of the 4 production archetype scans' filter sets - still needs to be wired in (or probed per-candidate) to actually populate this criterion in the daily log."
b11_opmargin,B,Operating margin > 0% -> 2,Operating margin value,"scan filter FILTER_TYPE_OPERATING_MARGIN",VERIFIED WORKING,Live in the compounder and steady_value scans today.
b12_netmargin,B,"RETIRED 2026-07-07 as a scored criterion - now a Stage-0 gate, not a rubric row",Net profit margin value,"scan filter FILTER_TYPE_NET_PROFIT_MARGIN, applied at Stage 0 on all 4 archetypes",GATE - NOT SCORED,"Was VERIFIED WORKING as a scored criterion; retired because it's already a hard Stage-0 scan filter on every archetype (turnaround/moonshot_growth/compounder/steady_value all require Net profit margin > 0 before a candidate reaches the rubric), so scoring it again downstream could never discriminate anything - 100% of rows reaching the rubric already pass it. Column b12_netmargin stays N/A in the log going forward; see rubric.md's ""Gates"" section and reports/rubric-changelog.csv id 7."
